,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
2493,ВКБ-Новостройки,developer,https://krasnodar.cian.ru/sale/flat/295358454/,Краснодар,sale,flat,11,18,2,45.0,8029999,Прикубанский, Героя Владислава Посадского,17,,Парк у дома
2494,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/294245157/,Краснодар,sale,flat,11,24,2,61.78,8032813,,,,,Левада
2495,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/280415701/,Краснодар,sale,flat,9,9,2,52.5,8032500,мкр. Калинино, Западный обход,42лит2/1,,Sport Village
2496,Девелопмент-юг,developer,https://krasnodar.cian.ru/sale/flat/294466743/,Краснодар,sale,flat,6,9,2,52.5,8032500,мкр. Калинино, Западный обход,42лит2/1,,Sport Village
2497,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/300556348/,Краснодар,sale,flat,5,9,2,65.25,8006175,,,,,Европа-Сити
2498,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/289724421/,Краснодар,sale,flat,3,24,2,58.9,8044680,,,,,Левада
2499,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/285195023/,Краснодар,sale,flat,11,16,2,66.5,8046500,Прикубанский, Кирилла Россинского,3/1,,Хорошая погода
2500,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299856162/,Краснодар,sale,flat,3,7,2,69.8,8027000,,,,,Европа-Сити
2501,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301285605/,Краснодар,sale,flat,-1,-1,-1,2.0,8016690,Прикубанский, Имени Героя Георгия Бочарникова,2лит1,,Улыбка
2502,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299631468/,Краснодар,sale,flat,16,16,2,67.81,8015142,Прикубанский, Имени Героя Советского Союза Николая Воробьева,17,,Квартал №6
2503,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/285177324/,Краснодар,sale,flat,2,9,2,52.5,8032500,мкр. Калинино, Западный обход,42лит2/1,,Sport Village
